name;address;postal code;city;phone;lattitude;longitude;company;idpoi;dfselection
LEGAY PNEUS - LE HAVRE;34, RUE DE FLEURUS;76600;LE HAVRE;02.35.25.07.89;49.4924;0.137625;Siligom;37;0
FERTE V.I - SEPT SORTS;ZI LE HAINAULT;77260;SEPT SORTS;01.60.22.20.09;48.947;3.10621;Siligom;37;0
MEDOC PNEU - GAILLAN-MEDOC;51, ROUTE DE SOULAC;33340;GAILLAN-MEDOC;05.56.41.06.73;45.3337;-0.97511;Siligom;37;0
REVELAUD PNEUS - LA GAUBRETIERE;40, RUE DE LA SALETTE;85130;LA GAUBRETIERE;02.51.57.41.89;46.9391;-1.06196;Siligom;37;0
CESAR ELEC ENTRETIEN - TULLE;40 RUE MAURICE CAQUOT;19000;TULLE;05 55 20 35 52;45.2567;1.75831;Siligom;37;0
LYON PNEUS SERVICE - MARSEILLE;265, RUE DE LYON;13015;MARSEILLE;04.95.05.17.77;43.3347;5.36368;Siligom;37;0
AVEYRON AUTO SPORT - ESPALION;ZA DE LA BOUYSSE;12500;ESPALION;05.65.44.03.19;44.5299;2.7457;Siligom;37;0
BOUZAT PNEUS - SAINT AFFRIQUE;8, AVENUE JULES BOURGOUGNON;12400;SAINT AFFRIQUE;05.65.49.22.08;43.9573;2.87833;Siligom;37;0
PROVINS POIDS LOURD - PROVINS;11 ROUTE DE BRAY;77160;PROVINS;01.64.08.97.23;48.5574;3.29016;Siligom;37;0
CHABEUIL AUTO SERVICE - CHABEUIL;4 ROUTE DE VALENCE;26120;CHABEUIL;04 75 79 11 82;44.9005;5.01793;Siligom;37;0
AUBUSSON PNEUS SERVICES - AUBUSSON;24 AVENUE D'AUVERGNE;23200;AUBUSSON;05.55.66.10.10;45.9567;2.18042;Siligom;37;0
LONGUELANES SERVICE ROUTE - BEZIERS;3136, ROUTE DE MARAUSSAN;34500;BEZIERS;04.67.28.00.10;43.3466;3.19359;Siligom;37;0
LONGUELANE SERVICE ROUTE - BEZIERS;16 AVENUE DU PONT VIEUX;34500;BEZIERS;04 67 49 00 47;43.3379;3.20397;Siligom;37;0
MATHIEU PNEU - BOURGOIN JALLIEU;14 BIS, RUE DE FUNAS;38300;BOURGOIN JALLIEU;04.74.28.00.22;45.6004;5.27313;Siligom;37;0
USSEL PNEUS SERVICES - USSEL;20/22, AVENUE THIERS;19200;USSEL;05.55.46.12.99;45.546;2.30621;Siligom;37;0
AM PNEUS 83 - TOULON;55 BOULEVARD ARISTIDE BRIAND;83200;TOULON;04.94.94.91.91;43.128;5.90579;Siligom;37;0
MAINTENANCE POIDS LOURDS - CAMBRAI;140 ROUTE DU CATEAU;59400;AWOINGT;03 27 82 44 11;50.1657;3.27385;Siligom;37;0
QUIBLIER PNEUS - THONON LES BAINS;3, AVENUE DE LA DRANSE;74200;THONON LES BAINS;04.50.71.38.72;46.3681;6.50157;Siligom;37;0
