Peugeot;308 SW;1.6 THP 155 BVM6 Allure ;Break;8;26 650 €;Essence;4 cylindres en ligne;16s; 1598 cm3; 8 cv;155;115 kw; 240 nm à 1400 tr/min; traction avant;Manuelle;boîte manuelle;6 vitesses; 10.8; 205/55 r16 vce pneu enichelin; 205/55 r16 vce pneu en pirelli; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;0;0;610;1660; 0 kg; 215 km/h; 0 s; 7.5 l/100 km; 4.3 l/100 km; 5.4 l/100 km; 125 g/km;5;5; euro 5; 0ois 0 km; Traction avant; Boîte manuelle, 6 vitesses; 10.8 m; 205/55 R16 VCe pneu en Michelin; 205/55 R16 VCe pneu en Pirelli;VP;Oui;Non;Oui;Non;Oui;Non
Peugeot;308 SW;1.2 e-THP 130 BVM6 Féline ;Break;7;28 250 €;Essence;3 cylindres en ligne;12s; 1199 cm3; 7 cv;130;96 kw; 230 nm à 1750 tr/min; traction avant;Manuelle;boîte manuelle;6 vitesses; 10.8; 225/45 r17 vce pneu enichelin; 225/45 r17 vce pneu en pirelli; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;1190;1840;610;1660; 1200 kg; 199 km/h; 10.6 s; 6.2 l/100 km; 4.3 l/100 km; 5 l/100 km; 115 g/km;5;5; euro 6; 0ois 0 km; Traction avant; Boîte manuelle, 6 vitesses; 10.8 m; 225/45 R17 VCe pneu en Michelin; 225/45 R17 VCe pneu en Pirelli;VP;Oui;Non;Oui;Non;Oui;Non
Peugeot;308 SW;1.2 e-THP 130 BVM6 Allure ;Break;6;25 950 €;Essence;3 cylindres en ligne;12s; 1199 cm3; 6 cv;130;96 kw; 230 nm à 1750 tr/min; traction avant;Manuelle;boîte manuelle;6 vitesses; 10.8; 205/55 r16 vce pneu en pirelli; 205/55 r16 vce pneu en promo; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;1190;1840;610;1660; 1200 kg; 205 km/h; 10 s; 5.9 l/100 km; 4 l/100 km; 4.7 l/100 km; 109 g/km;5;5; euro 6; 0ois 0 km; Traction avant; Boîte manuelle, 6 vitesses; 10.8 m; 205/55 R16 VCe pneu en Pirelli; 205/55 R16 VCe pneu en promo;VP;Oui;Non;Oui;Non;Oui;Non
Peugeot;308 SW;1.2 e-THP 110 BVM5 Allure ;Break;n.c.;24 850 €;Essence;3 cylindres en ligne;12s; 1199 cm3; 0 cv;110;81 kw; 0 nm à 0 tr/min; traction avant;Manuelle;boîte manuelle;5 vitesses; 10.8; 205/55 r16 vce pneu enichelin; 205/55 r16 vce pneu en dunlop; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;0;0;610;1660; 0 kg; 0 km/h; 0 s; 0 l/100 km; 0 l/100 km; 0 l/100 km; g/km;5;5; euro 6; 0ois 0 km; Traction avant; Boîte manuelle, 5 vitesses; 10.8 m; 205/55 R16 VCe pneu en Michelin; 205/55 R16 VCe pneu en Dunlop;VP;Oui;Non;Oui;Non;Oui;Non
Peugeot;308 SW;1.2 e-THP 110 BVM5 Active ;Break;n.c.;22 750 €;Essence;3 cylindres en ligne;12s; 1199 cm3; 0 cv;110;81 kw; 0 nm à 0 tr/min; traction avant;Manuelle;boîte manuelle;5 vitesses; 10.8; 205/55 r16 vcommandez ces pneus; 205/55 r16 vce pneu en pirelli; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;0;0;610;1660; 0 kg; 0 km/h; 0 s; 0 l/100 km; 0 l/100 km; 0 l/100 km; g/km;5;5; euro 6; 0ois 0 km; Traction avant; Boîte manuelle, 5 vitesses; 10.8 m; 205/55 R16 VCommandez ces pneus; 205/55 R16 VCe pneu en Pirelli;VP;Oui;Non;Non;Non;Oui;Non
Peugeot;208;1.4 E-HDI 68CH FAP Blue Lion BMP5 PACK CLIM ;5p.;6;16 800 €;diesel;4 cylindres en ligne;8s; 1397 cm3; 6 cv;68;50 kw; 160 nm à 1750 tr/min; traction avant;Automatique;boîte automatisée;5 vitesses; 10.4; 185/65 r15 tce pneu enichelin; 185/65 r15 tce pneu en dunlop; 3,96  / 1,74  / 1,46 ; 2.54; 50 l;1090;1580;285;1076; 825 kg; 165 km/h; 16.2 s; 3.6 l/100 km; 3.2 l/100 km; 3.4 l/100 km; 87 g/km;5;2; euro 5; 0ois 0 km; Traction avant; Boîte automatisée, 5 vitesses; 10.4 m; 185/65 R15 TCe pneu en Michelin; 185/65 R15 TCe pneu en Dunlop;VU;Non;Oui;Non;Non;Oui;Non
Peugeot;308 SW;1.6 e-HDi 115 FAP ETG6 Business Pack ;Break;6;27 450 €;diesel;4 cylindres en ligne;8s; 1560 cm3; 6 cv;115;84 kw; 270 nm à 1750 tr/min; traction avant;Automatique;boîte automatisée;6 vitesses; 11.1; 205/55 r16 vce pneu en pirelli; 205/55 r16 vce pneu en dunlop; 4,5  / 1,82  / 1,56 ; 2.71; 60 l;1488;2150;520;2149; 1200 kg; 185 km/h; 12.3 s; 0 l/100 km; 0 l/100 km; 0 l/100 km; 119 g/km;5;5; euro 5; 24ois 0 km; Traction avant; Boîte automatisée, 6 vitesses; 11.1 m; 205/55 R16 VCe pneu en Pirelli; 205/55 R16 VCe pneu en Dunlop;VP;Non;Non;Non;Non;Oui;Non
Peugeot;508;2.0 BlueHDi 180 FAP BVA6 Féline ;4p.;9;39 300 €;diesel;4 cylindres en ligne;16s; 1997 cm3; 9 cv;180;132 kw; 0 nm à 0 tr/min; traction avant;Automatique;boîte automatique;6 vitesses;12; 215/55 r17 98wce pneu en bridgestone; 215/55 r17 98wce pneu pas cher; 4,79  / 1,92  / 1,46 ; 2.82; 72 l;0;0;473;515; 0 kg; 0 km/h; 0 s; 0 l/100 km; 0 l/100 km; 0 l/100 km; 111 g/km;4;5; -; 24ois 0 km; Traction avant; Boîte automatique, 6 vitesses; 12 m; 215/55 R17 98WCe pneu en Bridgestone; 215/55 R17 98WCe pneu pas cher;VP;Non;Non;Non;Non;Oui;Non
Peugeot;508;2.0 BlueHDi 180 FAP BVA6 Allure ;4p.;9;36 100 €;diesel;4 cylindres en ligne;16s; 1997 cm3; 9 cv;180;132 kw; 0 nm à 0 tr/min; traction avant;Automatique;boîte automatique;6 vitesses;12; 215/55 r17 94wce pneu en continental; 215/55 r17 94wce pneu en goodyear; 4,79  / 1,92  / 1,46 ; 2.82; 72 l;0;0;473;515; 0 kg; 0 km/h; 0 s; 0 l/100 km; 0 l/100 km; 0 l/100 km; 111 g/km;4;5; -; 24ois 0 km; Traction avant; Boîte automatique, 6 vitesses; 12 m; 215/55 R17 94WCe pneu en Continental; 215/55 R17 94WCe pneu en Goodyear;VP;Non;Non;Non;Non;Oui;Non
Peugeot;508 SW;2.0 BlueHDi 180 FAP BVA6 Féline ;Break;9;40 950 €;diesel;4 cylindres en ligne;16s; 1997 cm3; 9 cv;180;132 kw; 0 nm à 0 tr/min; traction avant;Automatique;boîte automatique;6 vitesses;12; 215/55 r17 98wce pneu en promo; 215/55 r17 98wce pneu en promo; 4,81  / 1,92  / 1,48 ; 2.82; 72 l;0;0;512;1598; 0 kg; 0 km/h; 0 s; 0 l/100 km; 0 l/100 km; 0 l/100 km; 116 g/km;5;5; -; 24ois 0 km; Traction avant; Boîte automatique, 6 vitesses; 12 m; 215/55 R17 98WCe pneu en promo; 215/55 R17 98WCe pneu en promo;VP;Non;Non;Non;Non;Oui;Non
